Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AAMC,Altisource Asset Management Corp,12.76,25144498.72,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc
AAU,"Almaden Minerals, Ltd.",0.71,55424718.64,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,11.71,113994063,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
ACU,Acme United Corporation.,16.5,54985590,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ACY,AeroCentury Corp.,10.7568,16852667.8,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
ADGE,American DG Energy Inc.,0.33,16725751.35,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/adge
ADK,Adcare Health Systems Inc,2.39,47676996.26,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
AE,"Adams Resources & Energy, Inc.",39.3,165751522.8,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
AFCO,American Farmland Company,6.27,106100294.2,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/afco
AIII,"ACRE Realty Investors, Inc.",1.28,25745909.76,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
AINC,Ashford Inc.,46,92486174,n/a,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
AIRI,Air Industries Group,6.07,45889442.8,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AKG,Asanko Gold Inc.,2.27,447180027.9,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
ALN,American Lorain Corporation,1.14,43615818.6,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMCO,"Armco Metals Holdings, Inc.",0.308,2508298.716,n/a,n/a,Consumer Durables,Steel/Iron Ore,http://www.nasdaq.com/symbol/amco
AMPE,"Ampio Pharmaceuticals, Inc.",2.65,137843544.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
AMS,American Shared Hospital Services,2.38,12766320,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
APHB,AmpliPhi Biosciences Corporation,3.62,21298280.86,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
APT,"Alpha Pro Tech, Ltd.",1.87,33380348.98,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
ASB.WS,Associated Banc-Corp,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asb.ws
ASM,Avino Silver,1.01,38874604.07,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
AST,"Asterias Biotherapeutics, Inc.",4.58,175652847,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
ATNM,"Actinium Pharmaceuticals, Inc.",1.99,88338283.03,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AUMN,Golden Minerals Company,0.44,33743746.52,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
AWX,Avalon Holdings Corporation,1.7701,6732276.203,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
